MovieID;Title;Genres
1;Toy Story (1995);28
2;Jumanji (1995);266
3;Grumpier Old Men (1995);8208
4;Waiting to Exhale (1995);144
5;Father of the Bride Part II (1995);16
6;Heat (1995);32801
7;Sabrina (1995);8208
8;Tom and Huck (1995);10
9;Sudden Death (1995);1
10;GoldenEye (1995);32771
11;American President, The (1995);8336
12;Dracula: Dead and Loving It (1995);1040
13;Balto (1995);12
14;Nixon (1995);128
15;Cutthroat Island (1995);8195
16;Casino (1995);32896
17;Sense and Sensibility (1995);8320
18;Four Rooms (1995);32768
19;Ace Ventura: When Nature Calls (1995);16
20;Money Train (1995);1
21;Get Shorty (1995);145
22;Copycat (1995);32928
23;Assassins (1995);32768
24;Powder (1995);16512
25;Leaving Las Vegas (1995);8320
26;Othello (1995);128
27;Now and Then (1995);128
28;Persuasion (1995);8192
29;City of Lost Children, The (1995);16386
30;Shanghai Triad (Yao a yao yao dao waipo qiao) (1995);128
31;Dangerous Minds (1995);128
32;Twelve Monkeys (1995);16512
33;Wings of Courage (1995);8194
34;Babe (1995);152
35;Carrington (1995);8320
36;Dead Man Walking (1995);128
37;Across the Sea of Time (1995);64
38;It Takes Two (1995);16
39;Clueless (1995);8208
40;Cry, the Beloved Country (1995);128
41;Richard III (1995);65664
42;Dead Presidents (1995);161
43;Restoration (1995);128
44;Mortal Kombat (1995);3
45;To Die For (1995);144
46;How to Make an American Quilt (1995);8320
47;Seven (Se7en) (1995);32800
48;Pocahontas (1995);10252
49;When Night Is Falling (1995);8320
50;Usual Suspects, The (1995);32800
51;Guardian Angel (1994);32897
52;Mighty Aphrodite (1995);16
53;Lamerica (1994);128
54;Big Green, The (1995);24
55;Georgia (1995);128
56;Kids of the Round Table (1995);266
57;Home for the Holidays (1995);128
58;Postino, Il (The Postman) (1994);8320
59;Confessional, The (Le Confessionnal) (1995);4224
60;Indian in the Cupboard, The (1995);266
61;Eye for an Eye (1996);32896
62;Mr. Holland's Opus (1995);128
63;Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996);16
64;Two if by Sea (1996);8208
65;Bio-Dome (1996);16
66;Lawnmower Man 2: Beyond Cyberspace (1996);49152
67;Two Bits (1995);128
68;French Twist (Gazon maudit) (1995);8208
69;Friday (1995);16
70;From Dusk Till Dawn (1996);33841
71;Fair Game (1995);1
72;Kicking and Screaming (1995);144
73;Mis�rables, Les (1995);2176
74;Bed of Roses (1996);8320
75;Big Bully (1996);144
76;Screamers (1995);49152
77;Nico Icon (1995);64
78;Crossing Guard, The (1995);128
79;Juror, The (1996);32896
80;White Balloon, The (Badkonake Sefid ) (1995);128
81;Things to Do in Denver when You're Dead (1995);8352
82;Antonia's Line (Antonia) (1995);128
83;Once Upon a Time... When We Were Colored (1995);128
84;Last Summer in the Hamptons (1995);144
85;Angels and Insects (1995);8320
86;White Squall (1996);130
87;Dunston Checks In (1996);24
88;Black Sheep (1996);16
89;Nick of Time (1995);32769
90;Journey of August King, The (1995);128
92;Mary Reilly (1996);32896
93;Vampire in Brooklyn (1995);8208
94;Beautiful Girls (1996);128
95;Broken Arrow (1996);32769
96;In the Bleak Midwinter (1995);16
97;Hate (Haine, La) (1995);128
98;Shopping (1994);32769
