UserID;Gender;Occupation;Zip-code;Age
1;F;10;Michigan;0
2;M;16;Luisiana;8
3;M;15;Minnesota;5
4;M;7;Massachusetts;7
5;M;20;Minnesota;5
6;F;9;Minnesota;8
7;M;1;Connecticut;6
8;M;12;Nova Iorque (estado);6
9;M;17;Illinois;5
10;F;1;Califórnia;7
11;F;1;Maine;5
12;M;12;Flórida;5
13;M;1;Califórnia;7
14;M;0;Illinois;7
15;M;7;Virgínia;5
16;F;0;Maryland;6
17;M;1;Califórnia;8
18;F;3;Califórnia;4
19;M;10;Michigan;2
20;M;14;Minnesota;5
21;M;16;Washington;3
22;M;15;Wisconsin;4
23;M;0;Califórnia;7
24;F;7;Nova Iorque (estado);5
25;M;4;Massachusetts;4
26;M;7;Virgínia;5
27;M;11;Pensilvânia;5
28;F;1;Nova Iorque (estado);5
29;M;7;Flórida;6
30;F;7;Pensilvânia;6
31;M;7;Connecticut;9
32;F;0;Pensilvânia;5
33;M;3;Minnesota;7
34;F;0;Massachusetts;4
35;M;1;Massachusetts;7
36;M;3;Califórnia;6
37;F;9;Kansas;5
38;F;4;Massachusetts;4
39;M;4;Illinois;3
40;M;0;Nova Iorque (estado);7
41;F;4;Pensilvânia;3
42;M;8;Virgínia;6
43;M;12;Illinois;4
44;M;17;Washington;7
45;F;16;Califórnia;7
46;M;19;Texas;4
47;M;4;Califórnia;4
48;M;4;Califórnia;6
49;M;12;Texas;4
50;F;2;Washington;5
51;F;10;Nova Iorque (estado);0
52;M;4;Arkansas;3
53;M;0;;4
54;M;1;Minnesota;7
55;F;12;Minnesota;6
56;M;20;Illinois;6
57;M;19;Geórgia (Estados Unidos);4
58;M;2;Geórgia (Estados Unidos);5
59;F;1;Minnesota;8
60;M;1;Arkansas;8
61;M;17;Califórnia;6
62;F;3;Washington;6
63;M;4;Wisconsin;3
64;M;1;Wisconsin;4
65;M;12;Minnesota;6
66;M;18;Dakota do Sul;6
67;F;5;Illinois;7
68;M;4;Wisconsin;3
69;F;1;Massachusetts;5
70;M;4;Wisconsin;3
71;M;14;Califórnia;5
72;F;0;Minnesota;7
73;M;4;Wisconsin;4
74;M;14;Califórnia;6
75;F;10;Massachusetts;0
76;M;7;Minnesota;7
77;M;4;Pensilvânia;4
78;F;1;Washington;7
79;F;0;Washington;7
80;M;1;Michigan;9
81;F;0;Illinois;6
82;M;17;Michigan;6
83;F;2;Califórnia;5
84;M;4;Wisconsin;3
85;M;4;Califórnia;4
86;F;10;Wisconsin;0
87;M;14;Michigan;5
88;F;1;Massachusetts;7
89;F;9;Arizona;8
90;M;13;Arizona;9
91;M;7;Nova Jérsia;6
92;F;4;Ohio;4
93;M;17;Califórnia;5
94;M;17;Carolina do Norte;5
95;M;0;Washington;7
96;F;16;Texas;5
97;F;3;Kansas;6
98;F;7;Flórida;7
99;F;10;Pensilvânia;0
100;M;17;Califórnia;7
101;F;3;Flórida;4
102;M;19;Maryland;6
103;M;7;Califórnia;7
104;M;12;;5
105;M;12;Califórnia;7
106;F;11;Texas;6
107;M;18;Missouri;7
108;M;12;Geórgia (Estados Unidos);6
109;M;15;Califórnia;7
110;M;2;Califórnia;6
111;M;15;Minnesota;6
112;M;16;Oregon;6
113;M;12;Tennessee;4
114;F;2;Idaho;5
115;M;17;Carolina do Norte;5
116;M;17;Minnesota;5
117;M;17;Flórida;6
118;M;17;Virgínia;6
119;F;10;Texas;2
120;M;11;Carolina do Norte;5
121;M;7;Texas;7
122;F;4;Califórnia;4
123;M;9;Kansas;7
124;M;7;Califórnia;8
125;M;14;Massachusetts;7
126;M;9;Washington;3
127;F;3;Massachusetts;7
128;M;6;Tennessee;9
129;M;11;;6
130;M;17;Iowa;7
131;M;4;Connecticut;4
132;M;17;Alasca;5
133;F;0;Minnesota;5
134;M;0;Kansas;6
135;M;4;Washington, D.C.;3
136;M;2;Maryland;4
137;F;6;Texas;7
138;M;20;Maryland;4
139;F;20;Ohio;4
140;F;1;Minnesota;6
141;M;13;Illinois;6
142;M;7;Nova Iorque (estado);6
143;M;3;Missouri;4
144;M;17;Carolina do Sul;6
145;M;4;Pensilvânia;4
146;F;20;Nova Iorque (estado);6
147;M;4;Califórnia;4
148;M;17;Dakota do Sul;8
149;M;1;Carolina do Sul;6
150;M;7;Washington;6
151;F;20;Arizona;5
